LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_7,7,7,7,0,0,0,0,0,6.0,0.0,6.0,9.608495616249746,228.38564520571597,100.68225813077402,0.0,3.085306282027153,6.150822907451321,0.8983603940151487,2.986580570199407,2.1366010833835754,14.489365032741002,18.511837692162917,9.608495616249746,0.5190460167181323,1.6014159360416242,0.5190460167181323,1.6024982639753247
Track_8,8,8,31,0,0,0,0,0,30.0,0.0,30.0,27.703955852761172,495.02694075712793,92.51438557384203,0.0,3.0428962743582915,8.439462654774635,0.0,2.8002553209908245,1.9864514813849126,15.62946904090143,91.28688823074877,27.703955852761172,0.3034823115312355,0.9234651950920391,0.30348231153123556,0.9295591301322896
Track_9,9,9,5,0,0,0,0,0,4.0,0.0,4.0,6.403072286858571,953.8395712784884,96.97754443990968,0.0,2.6536470016491562,3.8782104779207955,1.8780674579139272,2.6591195255648334,0.8770480707859413,7.951513481140137,10.614588006596625,6.403072286858571,0.6032332373973693,1.6007680717146429,0.6032332373973693,1.0182733735028224
Track_10,10,10,30,1,0,0,0,1,30.0,0.0,30.0,27.907345655286967,444.9068508805352,107.76264207909757,0.0,2.6861824284152944,7.121158704095225,0.0,2.2699365096657473,1.706967955420085,14.138085842132568,79.75311033758781,28.004877455577653,0.3499217213868858,0.9302448551762322,0.3463074009180484,0.7425238839204605
Track_11,11,11,7,0,0,0,0,0,6.0,0.0,6.0,15.973084300255497,785.2638824419348,102.43224756491716,0.0,3.6182175380269004,4.978715133708934,1.9577978373007563,4.174238125340831,1.1728716417048013,15.384520666939872,21.709305228161405,15.973084300255497,0.7357713262760313,2.6621807167092495,0.7357713262760314,0.6320920955866604
Track_12,12,12,31,0,0,0,0,0,30.0,0.0,30.0,16.34908429620204,899.7255603255204,98.2660437385663,0.0,3.998168729740051,13.134242142669926,0.0,3.196445900164254,2.924563759622631,13.700920858690816,119.94506189220155,38.40280398121642,0.13630477185376322,0.544969476540068,0.13630477185376322,0.4812442567712883
Track_13,13,13,31,0,0,0,0,0,30.0,0.0,30.0,6.082386838283491,956.7033857339189,101.52092589101949,0.0,4.8237907863931335,12.973296825903205,0.0,4.729065165030993,2.6241825815301385,15.190976358229115,144.713723591794,47.669585510978045,0.042030477050266385,0.20274622794278305,0.042030477050266385,0.617177804354741
Track_14,14,14,14,0,0,0,0,0,13.0,0.0,13.0,28.308161173559675,1093.602428620168,104.57942618348086,0.0,3.6817822437234744,8.804065217004931,0.6661503727044519,2.9240946560599315,2.3150804709197352,15.193188667297363,47.86316916840516,28.308161173559675,0.5914393397971254,2.1775508595045903,0.5914393397971253,0.5827280440980372
Track_15,15,15,4,0,0,0,0,0,3.0,0.0,3.0,2.0,0.0,99.0,0.0,2.0,4.0,0.0,2.0,2.0,12.800654172897339,6.0,4.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.5707963267948966
Track_16,16,16,15,0,0,0,0,0,14.0,0.0,14.0,18.376277830490423,5.4081313598099054,106.06102097946787,0.0,2.4480856531573023,5.435697759679095,0.0,2.2965846775008707,1.876764161413675,13.024842580159506,34.27319914420223,19.016224271443615,0.5361704856664662,1.3125912736064589,0.5361704856664662,0.5930170454287786
