LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(pixel),(pixel),(pixel),(pixel),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(pixel/frame),(quality),(pixel),(pixel),,(pixel/frame),,(rad/frame)
Track_7,7,7,30,0,0,0,0,0,29.0,0.0,29.0,34.89372339849146,314.66209961315536,108.38325303482348,0.0,5.513599876721399,10.312720076300293,0.7506147772195182,5.199570562818053,2.461373199885028,16.08796443939209,159.8943964249206,55.73964524226807,0.21822980778989354,1.2032318413272918,0.21822980778989357,0.4619895194448636
Track_8,8,8,11,0,0,0,0,0,10.0,0.0,10.0,17.903833066719326,439.9218290601313,93.6485692723833,0.0,2.231022508783286,7.124112808727236,0.1634921632826144,1.8906669291747242,2.2202369215331257,13.498737508600408,22.31022508783286,17.903833066719326,0.8024945062738694,1.7903833066719326,0.8024945062738694,1.1183621150056653
Track_9,9,9,30,0,0,0,0,0,29.0,0.0,29.0,44.26938379143462,41.46211090705522,89.86410655076743,0.0,3.918910568891126,13.444936549687853,1.2357007037867687,3.335652238082451,2.531549399431923,12.840989844004314,113.64840649784266,45.78415909789064,0.389529296147896,1.526530475566711,0.389529296147896,0.8164941737231047
Track_10,10,10,7,0,0,0,0,0,6.0,0.0,6.0,11.3738692263642,90.9198000896835,95.325945022666,0.0,3.241120831845327,4.4140246450495235,1.8408185961074457,4.158480737864299,1.1638269852066947,14.330022266932897,19.446724991071964,11.3738692263642,0.5848732489190838,1.8956448710607,0.5848732489190839,0.811868324497604
Track_11,11,11,29,1,0,0,0,1,29.0,0.0,29.0,11.060334723056968,152.81010444814325,91.3117241648101,0.0,3.0466893094062946,6.9933812743563575,0.1951736214480168,2.841434380320687,1.8438336796432215,12.696145945581897,90.93773108337827,22.354968205011236,0.12162536486550403,0.3813908525192058,0.12518206281871486,0.951097026457329
Track_12,12,12,30,0,0,0,0,0,29.0,0.0,29.0,26.118571530868316,22.987081429423093,87.18569217146724,0.0,3.21416329829041,7.312524375678177,0.6943657939474789,2.8400746077909567,1.8704103803423549,13.946957937876384,93.21073565042188,43.42230826706119,0.2802099066015697,0.9006403976161488,0.28020990660156964,0.5321223311252309
Track_13,13,13,30,0,0,0,0,0,29.0,0.0,29.0,24.28732549917655,142.35278481929012,77.21349900065798,0.0,3.1282330199502377,6.651197807396137,0.5324077651934471,2.9520897158463777,1.525520581163514,13.548926734924317,90.71875757855693,33.60002799219821,0.26772109922410703,0.8374939827302259,0.26772109922410714,0.5637193231373157
Track_14,14,14,12,0,0,0,0,0,11.0,0.0,11.0,50.95285569658781,199.75108934359264,103.40281232941095,0.0,5.642647527941476,9.216788325681335,3.221279675643842,5.658453901542074,1.6882837230895391,12.887574553489685,62.06912280735624,50.95285569658781,0.8209050392854761,4.632077790598892,0.8209050392854762,0.4124842501335973
Track_15,15,15,30,0,0,0,0,0,29.0,0.0,29.0,55.34946922153149,334.74413129074145,119.3487633998338,0.0,5.0844239092121954,7.3902217034246815,0.5370882410816007,5.430110582353179,1.5899312828109404,16.450174951553343,147.44829336715364,55.34946922153149,0.37538223032333473,1.9086023869493618,0.3753822303233346,0.45060975692320115
Track_16,16,16,3,0,0,0,0,0,2.0,0.0,2.0,6.0,0.0,95.0,0.0,3.0,3.0,3.0,3.0,0.0,13.348772684733072,6.0,6.0,1.0,3.0,1.0,0.0
