x,y,t,phi,N,u,vx,vy
255.8125,822.425,24.0,0.36466165413533835,11.0,31.90472269666424,21.09242224588574,19.797319260556
312.4375,822.425,24.0,0.4017857142857143,12.0,40.95770793049023,24.500854142428565,29.18162732423602
369.0625,822.425,24.0,0.40350877192982454,11.0,42.15054102411824,29.72037143882615,29.12949922380159
425.6875,822.425,24.0,0.35870927318295737,10.0,28.140287041544838,19.29952464670105,19.251382136101412
29.3125,879.075,24.0,0.43459526008002464,13.0,17.26661187280264,0.38686264920256497,-9.732570497100076
85.9375,879.075,24.0,0.4133579562942444,15.0,19.78289872869168,-18.382322038758666,2.6855374787456583
142.5625,879.075,24.0,0.44110275689223055,15.0,23.782326015397715,-16.57400876465014,1.8706000562038556
199.1875,879.075,24.0,0.39335180055401664,11.0,18.10191398604843,-2.792425633780025,-3.9904720813125363
255.8125,879.075,24.0,0.3850415512465374,12.0,19.8264187598871,2.0447301391108526,-3.1590373844979958
312.4375,879.075,24.0,0.4226190476190476,12.0,30.110239841681206,8.673803664994589,22.929210816225023
369.0625,879.075,24.0,0.36872883964296704,12.0,25.968404070815197,6.481633775974779,22.28413400754844
425.6875,879.075,24.0,0.3598030163127116,12.0,18.62630107538057,-1.2321406858696982,14.857423443537082
29.3125,935.7249999999999,24.0,0.4115112342259157,14.0,11.001415101860823,5.913618249681461,-3.563537438558149
85.9375,935.7249999999999,24.0,0.46814404432132967,14.0,20.172741607010686,-17.084801419279103,0.25612063686048814
142.5625,935.7249999999999,24.0,0.45645363408521306,15.0,23.56393744322054,-21.326239133483845,1.5581622446385524
199.1875,935.7249999999999,24.0,0.46999076638965837,15.0,38.56459509168325,-35.08749175384839,9.636175707348498
255.8125,935.7249999999999,24.0,0.3948907356109572,12.0,22.779019385256365,-5.764873071308947,4.908589740973781
312.4375,935.7249999999999,24.0,0.4630325814536341,12.0,30.35707561222911,28.16644512254669,-7.30777605380057
369.0625,935.7249999999999,24.0,0.35426285010772546,11.0,41.05051309888194,24.7133600533776,-17.363914647489615
425.6875,935.7249999999999,24.0,0.38104032009849187,13.0,26.76500490509755,14.433191099094877,2.7515681322391736
29.3125,992.375,24.0,0.450187969924812,14.0,12.231067297532931,7.167346741725871,0.36112706410346856
85.9375,992.375,24.0,0.4432957393483709,18.0,14.112471229946259,-6.73773233117865,-7.499083164314655
142.5625,992.375,24.0,0.4544005102040816,17.0,19.145415116700377,-8.374747566692118,-12.879474207937914
199.1875,992.375,24.0,0.35463659147869675,8.0,24.971001872252113,-8.705875777190762,-4.087044983909234
255.8125,992.375,24.0,0.3593358395989975,9.0,15.620479084199433,-13.532443099840899,5.226390304104029
312.4375,992.375,24.0,0.3861607142857143,13.0,12.688809171394954,5.444884049190457,-6.188928241519617
369.0625,992.375,24.0,0.34617794486215536,10.0,35.51574157152695,26.45238517975637,-17.992650318634922
425.6875,992.375,24.0,0.37593984962406013,13.0,29.64590440606774,28.072870054976473,-3.144517940777022
29.3125,1049.0249999999999,24.0,0.3850415512465374,10.0,19.860676788683527,5.356282516665006,14.278300485047609
85.9375,1049.0249999999999,24.0,0.38011695906432746,13.0,14.82312980669265,9.630403692862892,-2.490435549110248
142.5625,1049.0249999999999,24.0,0.43953634085213034,14.0,10.332112027324248,-1.073772338436515,-1.1532884547522266
199.1875,1049.0249999999999,24.0,0.4013542628501077,15.0,17.0040582991218,-8.400524370521246,-8.765358369118275
255.8125,1049.0249999999999,24.0,0.4028931979070483,13.0,19.23609275757194,5.863910121821325,-3.6434321477283484
312.4375,1049.0249999999999,24.0,0.40350877192982454,12.0,31.267126975095433,29.089997996204502,-9.435457860564096
369.0625,1049.0249999999999,24.0,0.38596491228070173,12.0,22.060335981608834,7.070724934659296,-12.814398561043438
